Subject,Country,Value,Frequency
Food,Greece,18.40067,Annual
Food,Mexico,0.01750928,Annual
Food,United Kingdom,58.4,Annual
"Total less food, less energy",Ireland,1.297358,Annual
"Total less food, less energy",Mexico,16.48699,Annual
"Total less food, less energy",Switzerland,3.244423,Annual
"Total less food, less energy",United States,1.115039,Annual
"Total less food, less energy",Australia,2.61442,Annual
"Total less food, less energy",Korea,5.298928,Annual
"Total less food, less energy",Netherlands,2.169464,Annual
"Total less food, less energy",G7,1.322034,Annual
"Total less food, less energy",Japan,25.27679,Annual
"Total less food, less energy",OECD - Europe,7.54772,Annual
Total,Denmark,2.497795,Annual
Total,Hungary,23.46903,Annual
Total,Italy,2.05069,Annual
Total,Netherlands,2.34107,Annual
Total,Norway,2.868526,Annual
Total,Spain,2.786798,Annual
Total,Estonia,8.744751,Annual
Total,Israel,39.67998,Annual
Total,Saudi Arabia,3.445458,Annual
Total,Denmark,23.10269,Annual
Total,Italy,36.09576,Annual
Total,United Kingdom,20.9487,Annual
Total,Colombia,7.994468,Annual
Energy,Denmark,0.233674,Annual
Energy,France,7.601017,Annual
Energy,Netherlands,0.6348884,Annual
Energy,Switzerland,7.036139,Annual
Energy,Estonia,12.31538,Annual
Energy,OECD - Europe,3.286873,Annual
Energy,Lithuania,3.992812,Annual
Energy,Canada,40.40702,Annual
Energy,Germany,50.55024,Annual
Energy,United Kingdom,24.17053,Annual
Food,Austria,1.961518,Annual
Food,Greece,0.3007519,Annual
Food,Italy,2.529895,Annual
Food,Netherlands,1.03242,Annual
Food,Brazil,12.48641,Annual
Food,Greece,1.276625,Annual
Food,Spain,9.695573,Annual
Food,Brazil,0.0005240602,Annual
Food,OECD - Total,40.59815,Annual
"Total less food, less energy",Ireland,3.901906,Annual
"Total less food, less energy",OECD - Europe,7.336215,Annual
"Total less food, less energy",Sweden,6.078259,Annual
"Total less food, less energy",Austria,1.777945,Annual
"Total less food, less energy",Netherlands,2.565394,Annual
"Total less food, less energy",Spain,2.481994,Annual
"Total less food, less energy",G7,1.643143,Annual
"Total less food, less energy",Iceland,42.44475,Annual
"Total less food, less energy",New Zealand,38.34747,Annual
Total,Greece,1.068673,Annual
Total,Italy,11.33319,Annual
Total,Portugal,31.78344,Annual
Total,South Africa,1.520909,Annual
Energy,Germany,53.9847,Annual
Energy,Portugal,1.51851,Annual
Energy,United Kingdom,28.87985,Annual
Food,Hungary,3.957986,Annual
Food,New Zealand,44.58269,Annual
Food,United Kingdom,6.690957,Annual
"Total less food, less energy",Greece,29.67506,Annual
"Total less food, less energy",Portugal,8.028572,Annual
"Total less food, less energy",G7,50.7373,Annual
Total,Czech Republic,2.450534,Annual
Total,Germany,4.043622,Annual
Total,Japan,11.73127,Annual
Total,Norway,8.465244,Annual
Total,Spain,0.809258,Annual
Total,Chile,26.03648,Annual
Total,India,7.659695,Annual
Total,OECD - Europe,11.4197,Annual
Total,Euro area (19 countries),2.7,Annual
Energy,Austria,-11.66509,Annual
Energy,Canada,2.910995,Annual
Energy,Denmark,2.471152,Annual
Energy,Hungary,5.507702,Annual
Energy,New Zealand,7.69555,Annual
Energy,Switzerland,0.08948546,Annual
Energy,United States,0.781644,Annual
Energy,United States,-0.3379915,Annual
Energy,G7,7.653122,Annual
Food,Austria,3.290264,Annual
Food,Czech Republic,-3.971536,Annual
Food,Hungary,5.017301,Annual
Food,Netherlands,3.773585,Annual
Food,New Zealand,-0.4375804,Annual
Food,Slovak Republic,7.466394,Annual
Food,Sweden,11.66247,Annual
Food,Estonia,5.044996,Annual
Food,Slovenia,3.59731,Annual
Food,G7,1.217349,Annual
Food,OECD - Europe,3.905322,Annual
"Total less food, less energy",Mexico,20.99635,Annual
"Total less food, less energy",Belgium,1.630501,Annual
"Total less food, less energy",Denmark,4.996573,Annual
"Total less food, less energy",Japan,8.554707,Annual
Total,Australia,3.960396,Annual
Total,Belgium,12.7682,Annual
Total,Belgium,3.532082,Annual
Total,France,9.494556,Annual
Total,Iceland,9.81132,Annual
Total,Netherlands,8.022207,Annual
Total,Switzerland,3.292622,Annual
Total,OECD - Total,6.387596,Annual
Total,Euro area (19 countries),1.3,Annual
Total,Belgium,28.84781,Annual
Total,New Zealand,4.005359,Annual
Total,Sweden,26.17793,Annual
Total,India,13.23551,Annual
Total,South Africa,2.816928,Annual
Total,European Union – 27 countries (from 01/02/2020),0.8,Annual
Energy,Belgium,5.393486,Annual
Energy,Germany,10.67224,Annual
Energy,Mexico,58.01566,Annual
Energy,Portugal,5.494802,Annual
Energy,OECD - Total,9.510586,Annual
Energy,Australia,18.33085,Annual
Energy,Luxembourg,55.85411,Annual
Energy,Spain,19.78787,Annual
Energy,G7,46.86112,Annual
Food,Canada,2.195014,Annual
Food,France,0.7845713,Annual
Food,Greece,0.5146211,Annual
Food,Italy,0.1929851,Annual
Food,Korea,0.5252814,Annual
Food,Norway,2.526812,Annual
Food,United Kingdom,4.015048,Annual
Food,G7,1.630733,Annual
Food,Sweden,12.13975,Annual
Food,Israel,0.005237954,Annual
Food,G7,17.26663,Annual
"Total less food, less energy",OECD - Europe,7.405925,Annual
"Total less food, less energy",Germany,2.204986,Annual
"Total less food, less energy",Netherlands,2.235504,Annual
"Total less food, less energy",Germany,57.36692,Annual
"Total less food, less energy",Turkey,45.06148,Annual
"Total less food, less energy",OECD - Europe,32.64768,Annual
Total,Canada,2.14876,Annual
Total,Germany,2.617937,Annual
Total,Hungary,3.561517,Annual
Total,Ireland,2.309198,Annual
Total,Japan,-0.2333528,Annual
Total,Mexico,4.688407,Annual
Total,Norway,6.223874,Annual
Total,Turkey,38.85585,Annual
Total,Brazil,6.926713,Annual
Total,G7,12.53371,Annual
Total,OECD - Europe,2.934948,Annual
Total,G20,4.979654,Annual
Total,Canada,7.183302,Annual
Total,France,59.51274,Annual
Total,Italy,3.682666,Annual
Total,New Zealand,5.419219,Annual
Total,United States,18.73283,Annual
Total,India,5.105545,Annual
Energy,Belgium,-19.06161,Annual
Energy,Luxembourg,-2.762224,Annual
Energy,United States,10.91642,Annual
Energy,G7,2.641939,Annual
Energy,Australia,31.81925,Annual
Food,Australia,2.532879,Annual
Food,Austria,1.961518,Annual
Food,Denmark,5.410226,Annual
Food,Italy,3.002799,Annual
Food,Luxembourg,-0.2896574,Annual
Food,Norway,8.658795,Annual
Food,Portugal,2.032966,Annual
Food,Israel,-1.364017,Annual
Food,Hungary,3.957986,Annual
Food,Luxembourg,17.46346,Annual
Food,United Kingdom,42.41751,Annual
Food,Russia,39.44809,Annual
Food,OECD - Europe,31.11002,Annual
"Total less food, less energy",OECD - Europe,10.9722,Annual
"Total less food, less energy",Switzerland,-0.2219039,Annual
"Total less food, less energy",Germany,1.666498,Annual
"Total less food, less energy",United Kingdom,13.82768,Annual
"Total less food, less energy",Korea,5.024467,Annual
"Total less food, less energy",Japan,7.011904,Annual
"Total less food, less energy",G7,1.312742,Annual
"Total less food, less energy",Austria,41.31513,Annual
"Total less food, less energy",Netherlands,20.82317,Annual
"Total less food, less energy",Israel,42.22203,Annual
Total,Austria,3.339167,Annual
Total,Korea,2.498333,Annual
Total,Poland,32.19167,Annual
Total,Switzerland,-0.725875,Annual
Total,India,4.29716,Annual
Total,South Africa,1.246275,Annual
Total,G7,1.313528,Annual
Total,Colombia,9.22257,Annual
Total,G20,3.158364,Annual
Total,Canada,7.216223,Annual
Total,Spain,4.565353,Annual
Total,United Kingdom,5.653274,Annual
Total,Israel,0.002170807,Annual
Energy,Austria,10.93313,Annual
Energy,Canada,5.664872,Annual
Energy,Italy,4.567563,Annual
Energy,Norway,9.361222,Annual
Energy,United States,-0.3379915,Annual
Energy,Euro area (19 countries),-6.8,Annual
Energy,Germany,34.19299,Annual
Energy,Mexico,40.16105,Annual
Energy,Sweden,13.63228,Annual
Food,Finland,6.354103,Annual
Food,Finland,5.33733,Annual
Food,Luxembourg,2.559381,Annual
Food,Spain,23.63115,Annual
Food,Sweden,2.143203,Annual
Food,Russia,9.962452,Annual
Food,OECD - Europe,8.106886,Annual
Food,Finland,7.785378,Annual
Food,Mexico,0.660726,Annual
Food,Turkey,6.406153e-05,Annual
Food,Chile,48.73182,Annual
"Total less food, less energy",Poland,2.175,Annual
"Total less food, less energy",Latvia,4.407856,Annual
"Total less food, less energy",Austria,3.65336,Annual
"Total less food, less energy",United Kingdom,15.50164,Annual
"Total less food, less energy",Finland,9.314684,Annual
"Total less food, less energy",Norway,39.53998,Annual
Total,Greece,1.173987,Annual
Total,Korea,44.35017,Annual
Total,Turkey,7.866188e-05,Annual
Total,Chile,51.97813,Annual
Total,India,37.94815,Annual
Total,G7,53.35703,Annual
Energy,Netherlands,13.7893,Annual
Energy,Spain,19.78793,Annual
Energy,OECD - Europe,24.52009,Annual
Food,Denmark,58.91928,Annual
Food,Mexico,0.660726,Annual
Food,Slovak Republic,31.99994,Annual
Food,South Africa,1.276678,Annual
"Total less food, less energy",Ireland,25.8006,Annual
"Total less food, less energy",Israel,31.44086,Annual
Total,Denmark,0.7581316,Annual
Total,Hungary,17.14915,Annual
Total,Luxembourg,3.588104,Annual
Total,New Zealand,6.932811,Annual
Total,United Kingdom,4.148918,Annual
Total,Chile,1.789556,Annual
Total,Colombia,3.41759,Annual
Total,European Union – 27 countries (from 01/02/2020),3.7,Annual
Energy,Czech Republic,7.221207,Annual
Energy,Finland,5.382178,Annual
Energy,Ireland,8.801407,Annual
Energy,Japan,7.128356,Annual
Energy,Mexico,28.63647,Annual
Energy,Portugal,27.05249,Annual
Energy,Spain,-1.237798,Annual
Energy,Switzerland,-1.318184,Annual
Energy,Estonia,5.711448,Annual
Food,Australia,-2.823139,Annual
Food,Denmark,8.823529,Annual
Food,Greece,21.11534,Annual
Food,Sweden,7.001379,Annual
Food,China (People's Republic of),-0.1,Annual
Food,OECD - Europe,1.585372,Annual
"Total less food, less energy",Ireland,1.431378,Annual
"Total less food, less energy",Italy,15.30724,Annual
"Total less food, less energy",Germany,3.777793,Annual
"Total less food, less energy",Austria,5.464267,Annual
"Total less food, less energy",Netherlands,3.385361,Annual
"Total less food, less energy",Japan,0.4548088,Annual
"Total less food, less energy",European Union – 27 countries (from 01/02/2020),1.6,Annual
Total,Belgium,2.839664,Annual
Total,Germany,3.293413,Annual
Total,Hungary,6.744347,Annual
Total,Korea,0.3829461,Annual
Total,Slovak Republic,-0.5200102,Annual
Total,Sweden,0.533132,Annual
Total,Brazil,5.678594,Annual
Total,OECD - Total,5.338038,Annual
Total,Colombia,10.8734,Annual
Energy,Austria,3.020273,Annual
Energy,Canada,7.778108,Annual
Energy,Hungary,12.97662,Annual
Energy,Luxembourg,7.229407,Annual
Energy,New Zealand,0.8155869,Annual
Energy,Portugal,13.06983,Annual
Energy,Sweden,-1.846099,Annual
Energy,United States,0.781644,Annual
Energy,OECD - Total,4.051606,Annual
Energy,Euro area (19 countries),7.6,Annual
Energy,Lithuania,0.02549587,Annual
Food,Australia,3.119903,Annual
Food,Germany,1.203303,Annual
Food,Japan,1.13007,Annual
Food,Netherlands,-2.049768,Annual
Food,New Zealand,-0.4375804,Annual
Food,Brazil,58.49442,Annual
"Total less food, less energy",Portugal,3.543171,Annual
"Total less food, less energy",Switzerland,1.634482,Annual
"Total less food, less energy",Iceland,2.162393,Annual
"Total less food, less energy",Belgium,1.686412,Annual
"Total less food, less energy",Netherlands,2.022757,Annual
"Total less food, less energy",G7,3.793655,Annual
"Total less food, less energy",Lithuania,0.4925124,Annual
Total,Korea,2.752292,Annual
Total,Spain,2.472081,Annual
Total,Turkey,0.007995404,Annual
Total,Israel,0.1003933,Annual
Energy,Finland,7.750289,Annual
Energy,Italy,4.587921,Annual
Energy,United States,20.74554,Annual
Food,Austria,34.02057,Annual
Food,Japan,33.90181,Annual
Food,Colombia,35.93357,Annual
"Total less food, less energy",Greece,16.52361,Annual
"Total less food, less energy",Sweden,17.53094,Annual
"Total less food, less energy",United States,18.81692,Annual
"Total less food, less energy",OECD - Total,20.80539,Annual
Total,France,2.111598,Annual
Total,Netherlands,2.486502,Annual
Total,Poland,2.133333,Annual
Total,United Kingdom,1.8,Annual
Total,Russia,20.79877,Annual
Energy,Australia,15.59402,Annual
Energy,France,11.7223,Annual
Energy,Netherlands,-9.327916,Annual
Energy,Switzerland,2.61675,Annual
Energy,United States,13.93344,Annual
Energy,Russia,2.46,Annual
Food,Czech Republic,-5.532564,Annual
Food,Finland,4.297994,Annual
Food,Germany,5.707157,Annual
Food,Japan,-2.397302,Annual
Food,Slovak Republic,1.422295,Annual
Food,Spain,14.26022,Annual
Food,United Kingdom,6.511207,Annual
Food,Euro area (19 countries),0.7,Annual
"Total less food, less energy",Switzerland,-0.2292486,Annual
"Total less food, less energy",Finland,-0.2122383,Annual
"Total less food, less energy",United Kingdom,18.23246,Annual
"Total less food, less energy",Australia,7.606051,Annual
"Total less food, less energy",Spain,2.44798,Annual
"Total less food, less energy",Turkey,43.15623,Annual
"Total less food, less energy",Greece,20.87258,Annual
Total,Belgium,1.294371,Annual
Total,France,4.543192,Annual
Total,Japan,8.161827,Annual
Total,Mexico,4.899351,Annual
Total,Portugal,5.52648,Annual
Total,Turkey,13.93817,Annual
Total,Estonia,2.780567,Annual
Total,OECD - Total,1.799125,Annual
Total,Costa Rica,32.62601,Annual
Total,Costa Rica,0.8019475,Annual
Total,Austria,59.37665,Annual
Total,Italy,48.77834,Annual
Total,Turkey,0.005939677,Annual
Total,Chile,0.0555232,Annual
Total,Indonesia,2.548788,Annual
Energy,Austria,-0.6777107,Annual
Energy,France,7.601017,Annual
Energy,Portugal,-1.121259,Annual
Energy,Switzerland,-1.482067,Annual
Energy,G7,15.03625,Annual
Energy,New Zealand,5.188627,Annual
Energy,United Kingdom,38.28407,Annual
Food,Australia,10.4799,Annual
Food,Finland,1.93134,Annual
Food,Ireland,1.430791,Annual
Food,Mexico,5.417217,Annual
Food,Spain,4.960347,Annual
Food,United States,7.309252,Annual
Food,Austria,56.05321,Annual
Food,Ireland,55.15372,Annual
"Total less food, less energy",Ireland,3.836946,Annual
"Total less food, less energy",Switzerland,8.7891,Annual
"Total less food, less energy",Hungary,26.56152,Annual
"Total less food, less energy",Japan,-0.7540935,Annual
"Total less food, less energy",Hungary,50.08906,Annual
"Total less food, less energy",Portugal,20.69766,Annual
Total,Australia,53.355,Annual
Total,Germany,46.16123,Annual
Total,Japan,26.6,Annual
Total,Brazil,0.03615434,Annual
Energy,Denmark,59.10887,Annual
Energy,Iceland,36.16899,Annual
Energy,Netherlands,47.48574,Annual
Energy,Norway,46.673,Annual
Energy,Turkey,0.6584195,Annual
Food,Greece,1.495475,Annual
Food,United Kingdom,48.6,Annual
"Total less food, less energy",Canada,14.73351,Annual
"Total less food, less energy",Sweden,16.47052,Annual
Total,Belgium,3.167712,Annual
Total,Czech Republic,1.902981,Annual
Total,Hungary,1.7332,Annual
Total,Portugal,-0.01243833,Annual
Total,Switzerland,6.660002,Annual
Total,Russia,14.11077,Annual
Total,Slovenia,3.657496,Annual
Total,OECD - Europe,2.377624,Annual
Energy,Denmark,11.90885,Annual
Energy,Italy,0.04168405,Annual
Energy,Luxembourg,14.07918,Annual
Energy,Turkey,14.70722,Annual
Energy,OECD - Europe,3.473428,Annual
Food,Austria,2.931693,Annual
Food,Denmark,9.132889,Annual
Food,Hungary,12.87068,Annual
Food,Luxembourg,1.099162,Annual
Food,Norway,3.094333,Annual
Food,Sweden,0.7630034,Annual
Food,Israel,5.202923,Annual
Food,Euro area (19 countries),1.1,Annual
"Total less food, less energy",Portugal,2.829323,Annual
"Total less food, less energy",Latvia,8.281073,Annual
"Total less food, less energy",United States,2.297935,Annual
"Total less food, less energy",United Kingdom,1.7,Annual
Total,Canada,49.75639,Annual
Total,Italy,5.270864,Annual
Total,Netherlands,43.54816,Annual
Total,Spain,14.96077,Annual
Total,Brazil,7.169139e-09,Annual
Total,Costa Rica,45.9034,Annual
Total,South Africa,43.65049,Annual
Energy,Germany,47.41146,Annual
Energy,Netherlands,48.28896,Annual
Energy,Switzerland,25.08813,Annual
Food,Denmark,15.38443,Annual
Food,Greece,23.02916,Annual
Food,Portugal,2.012276,Annual
Food,Costa Rica,45.45879,Annual
Food,South Africa,3.771065,Annual
"Total less food, less energy",Canada,26.01195,Annual
"Total less food, less energy",Greece,41.26239,Annual
Total,Australia,5.681818,Annual
Total,Austria,1.605806,Annual
Total,Iceland,22.1284,Annual
Total,Italy,5.235423,Annual
Total,Norway,2.171137,Annual
Total,Switzerland,6.660002,Annual
Total,Chile,4.718675,Annual
Total,Slovenia,1.769201,Annual
Total,G7,2.333976,Annual
Total,Euro area (19 countries),2.7,Annual
Energy,Germany,16.22428,Annual
Energy,Luxembourg,4.278674,Annual
Energy,New Zealand,3.143893,Annual
Energy,Switzerland,-0.7942139,Annual
Energy,United States,1.525054,Annual
Energy,OECD - Europe,3.473428,Annual
Food,Germany,2.758104,Annual
Food,Netherlands,-0.08497316,Annual
Food,Switzerland,-0.4910096,Annual
Food,Chile,1.10213,Annual
Food,OECD - Europe,6.715284,Annual
"Total less food, less energy",Israel,0.3939523,Annual
"Total less food, less energy",Norway,1.202938,Annual
"Total less food, less energy",United States,0.9585605,Annual
"Total less food, less energy",Korea,1.875,Annual
"Total less food, less energy",Lithuania,0.1956224,Annual
Total,Finland,34.66914,Annual
Total,Hungary,3.587192,Annual
Total,Korea,4.227242,Annual
Total,Switzerland,50.06347,Annual
Total,South Africa,1.573977,Annual
Energy,Italy,45.07773,Annual
Energy,Sweden,27.78212,Annual
Food,Denmark,53.03047,Annual
Food,Israel,19.55563,Annual
"Total less food, less energy",Ireland,49.53668,Annual
Total,Australia,2.615385,Annual
Total,France,0.03751438,Annual
Total,Greece,1.50152,Annual
Total,Netherlands,1.703498,Annual
Total,New Zealand,1.598298,Annual
Total,Chile,33.38921,Annual
Total,Colombia,4.312141,Annual
Energy,Finland,-0.3505697,Annual
Energy,Norway,-2.095432,Annual
Energy,Portugal,-7.800646,Annual
Energy,Switzerland,-0.7942139,Annual
Energy,Latvia,6.199768,Annual
Food,Austria,0.7333333,Annual
Food,Denmark,0.4274579,Annual
Food,Germany,2.758104,Annual
Food,New Zealand,0.9506096,Annual
Food,Spain,19.14735,Annual
Food,Argentina,46.96305,Annual
"Total less food, less energy",Portugal,2.683104,Annual
"Total less food, less energy",Switzerland,4.014088,Annual
"Total less food, less energy",Sweden,2.439257,Annual
"Total less food, less energy",Austria,1.769629,Annual
"Total less food, less energy",United States,1.763072,Annual
